model,num_classes_r,num_classes_p,avg_text_length_r,avg_text_length_p,label_similarity_r,label_similarity_p
BGE-M3,-0.560674,0.116327,0.500000,0.170471,0.259416,0.500268
E5-large,-0.661094,0.052523,0.533333,0.139227,0.376572,0.317823
INSTRUCTOR,-0.761513,0.017117,0.583333,0.099186,0.393309,0.294990
Jina v5,-0.560674,0.116327,0.566667,0.111633,0.259416,0.500268
MPNet,-0.184102,0.635383,0.200000,0.605901,-0.234312,0.543967
Nomic-MoE,-0.359836,0.341509,0.566667,0.111633,-0.142261,0.715032
Qwen3,-0.610789,0.107721,0.690476,0.057990,0.395217,0.332517
