Dataset,Samples,Classes,Accuracy,Macro F1,Precision,Recall,Avg Confidence
Ag News,1000,4,85.1,85.1002820088341,85.41125393277032,85.26671572096942,88.36080564260482
Dbpedia 14,1000,14,82.1,80.23378715984782,82.66260859,82.68614479282803,89.97500186562539
Zeroshot Twitter Financial News Sentiment,1000,3,66.4,64.18554667534215,62.06769946389152,72.21433259426382,90.9424416422844
Banking77,1000,77,61.6,60.66507894476227,66.62411228660264,61.80240071514046,96.09597092866898
Setfit 20 Newsgroups,2000,20,61.650000000000006,59.857155274248576,63.60169168065587,60.07458849274374,89.66601710915566
Yahoo Answers Topics,1000,10,52.900000000000006,53.98749353449045,59.09578294010025,53.09104085103934,89.22786520719528
